classe,precisao,revocacao,f1,suporte
HP,0.7209302325581395,0.5,0.5904761904761905,62
adidas,0.2052401746724891,0.7014925373134329,0.31756756756756754,67
aldi,1.0,0.2830188679245283,0.4411764705882353,53
apple,0.5714285714285714,0.36363636363636365,0.4444444444444444,33
becks,0.6470588235294118,0.4074074074074074,0.5,54
bmw,0.12663755458515283,0.9666666666666667,0.22393822393822393,30
carlsberg,0.9444444444444444,0.3090909090909091,0.4657534246575342,55
chimay,0.7241379310344828,0.39622641509433965,0.5121951219512195,53
cocacola,0.3583815028901734,0.7654320987654321,0.4881889763779528,81
corona,1.0,0.6666666666666666,0.8,33
dhl,1.0,0.36538461538461536,0.5352112676056338,52
erdinger,0.7619047619047619,0.36363636363636365,0.49230769230769234,44
esso,1.0,0.05263157894736842,0.1,38
fedex,0.59375,0.475,0.5277777777777778,40
ferrari,0.8636363636363636,0.59375,0.7037037037037037,32
ford,0.6888888888888889,0.8611111111111112,0.7654320987654321,36
fosters,1.0,0.02702702702702703,0.05263157894736842,37
google,0.8484848484848485,0.8484848484848485,0.8484848484848485,33
guiness,0.7446808510638298,0.8974358974358975,0.813953488372093,39
heineken,0.5,0.017241379310344827,0.03333333333333333,58
milka,1.0,0.32967032967032966,0.49586776859504134,91
nvidia,0.0,0.0,0.0,50
paulaner,0.1702127659574468,0.2,0.1839080459770115,40
pepsi,0.5777777777777777,0.26,0.3586206896551724,100
rittersport,1.0,0.058823529411764705,0.1111111111111111,119
shell,0.6470588235294118,0.22,0.3283582089552239,50
singha,0.9,0.2727272727272727,0.4186046511627907,33
starbucks,0.6666666666666666,0.05714285714285714,0.10526315789473684,35
stellaartois,0.5476190476190477,0.575,0.5609756097560976,40
texaco,0.4,0.7647058823529411,0.5252525252525253,34
tsingtao,0.9583333333333334,0.575,0.71875,40
ups,0.0,0.0,0.0,40
