iou_min,iou_max,n,taxa_acerto_classificacao
0.0,0.1,6,0.0
0.1,0.2,3,1.0
0.2,0.30000000000000004,5,0.6
0.30000000000000004,0.4,2,1.0
0.4,0.5,6,0.6666666666666666
0.5,0.6000000000000001,13,0.9230769230769231
0.6000000000000001,0.7000000000000001,22,1.0
0.7000000000000001,0.8,47,0.9787234042553191
0.8,0.9,172,0.936046511627907
0.9,1.0,635,0.9826771653543307
