iou,class_correct
0.9040881233230291,True
0.9106669296889299,True
0.9253163391589954,True
0.6842436763066392,True
0.8417252826985292,True
0.8820097838949437,True
0.7652153477889914,True
0.8221589537587047,True
0.9271118503471482,True
0.902451686261044,True
0.9175881902259225,True
0.9273292837116854,True
0.8441267244913054,True
0.8956603491260962,True
0.88413883779278,True
0.7614310818219266,True
0.7848011492883152,True
0.8634830524741716,True
0.8739648947598808,True
0.8681211175381368,True
0.8384718618210191,True
0.8266176767835555,True
0.8744225629278399,True
0.9275516016214671,True
0.7507400485836984,True
0.9081833446922694,True
0.9210140459252645,True
0.8405138582417079,True
0.9453297680671672,True
0.8174608909302977,True
0.8855150754631561,True
0.9356693079051105,True
0.6783653860645948,True
0.7189136783582167,True
0.8963041719804629,True
0.8405647780466446,True
0.8840138127475196,True
0.844811386891387,True
0.7868682118037651,True
0.8371937990648047,True
0.8980961490485023,True
0.8895196858448648,True
0.8627032884069732,True
0.820217500001657,True
0.9207400170623252,True
0.7698482892602414,True
0.9221150022733725,True
0.9288585772493348,True
0.8886909596386672,True
0.7699191229935098,True
0.8843079353922247,True
0.9004855550808397,True
0.874914024370127,True
0.9355201197526308,True
0.8783288795846177,True
0.8295282701603397,True
0.9408462200119456,True
0.7598214668408974,True
0.8554963297890011,True
0.940551284579527,True
0.88295754509603,True
0.8539760086868721,True
0.9040434198072899,True
0.851396334981477,True
0.9297176211285354,True
0.9195416948197487,True
0.8738837186123856,True
0.9640433824975185,True
0.7286985709079818,True
0.8429165759197945,True
0.9128812091132843,True
0.8510888962195357,True
0.8018374944091493,True
0.904001432007708,True
0.7449012585456034,True
0.8552205399517671,True
0.9019547671663235,True
0.8604832434590998,True
0.8677365764461464,True
0.8608506440051603,True
0.8735778993799822,True
0.8033947654241813,True
0.7964650964781865,True
0.9432466345145453,True
0.9360855021400551,True
0.8556194223559441,True
0.8585165055521033,True
0.9012732857745976,True
0.7307773050188205,True
0.8311752789760007,True
0.8575575400779619,True
0.8619774583028026,True
0.866947978898626,True
0.8420239589527031,True
0.8026944739472209,True
0.8875031674761108,True
0.8256769909981729,True
0.627163771255433,True
0.8478666689379356,True
0.9138526272321663,True
0.9523820410546615,True
0.889305484496598,True
0.806956569000965,True
0.8227065496611191,True
0.784239065856737,True
0.7820199700197209,True
0.8526621321756894,True
0.7465285823621103,True
0.9219427773071159,True
0.768250358542652,True
0.9202965585617608,True
0.9543365419206036,True
0.8839047583114201,True
0.8541606837260588,True
0.7694675238082139,True
0.8694335333616561,True
0.8703223983893453,True
0.8743290046474248,True
0.9072307042388223,True
0.8325306722000407,True
0.8854543579199361,True
0.9018147230636429,True
0.9506656614757976,True
0.8105735619426546,True
0.8474511337839414,True
0.8109686536614666,True
0.7228459534038515,True
0.9037075094655987,True
0.9236349574133302,True
0.8316423335509886,True
0.6283214005665217,True
0.8542462119896647,True
0.8856040335684785,True
0.8458643513052132,True
0.6953004571441741,True
0.721767474644596,True
0.8455387300800195,True
0.8033063568893148,True
0.8145878647661161,True
0.8888251166829936,True
0.48152274270026907,True
0.7309112397679804,True
0.8573523309392127,True
0.7346219930087774,True
0.8411376312182743,True
0.877542309316735,True
0.9124763159861674,True
0.9514285894285367,True
0.8822136610262321,True
0.9089471276351009,True
0.8005799355914208,True
0.9126321026732903,True
0.8386657441017628,True
0.7212270725096442,True
0.849045272239788,True
0.8628299198094713,True
0.8542798402020428,True
0.8316689233533971,True
0.7442386579239818,True
0.8104684994818798,True
0.7919599275906433,True
0.8057493592216145,True
0.9150221805212442,True
0.7516558987448311,True
0.7945076207987638,True
0.873746176214042,True
0.8858028675755028,True
0.7854694572068026,True
0.8802916612603037,True
0.8302750468122173,True
0.8158296765552508,True
0.910438875176935,True
0.8776705252154782,True
0.8695276779178277,True
0.7668007030631914,True
0.8654805762710125,True
0.8201768302397267,True
0.8714110560679713,True
0.8449399164069199,True
0.9300420543408648,True
0.8375755307329171,True
0.7825243561859352,True
0.9071307126883249,True
0.7964549614512976,True
0.8746567361502927,True
0.7665923483405949,True
0.8345741985539883,True
0.868313638689066,True
0.7868267374622167,True
0.8660996482365488,True
0.8987966805628317,True
0.7594838225144755,True
0.8556732370863469,True
0.9435299993964142,True
0.7603392194052542,True
0.7759776092249538,True
0.8225181173452791,True
0.8061961982919167,True
0.8100648655109628,True
0.7874877433034629,True
0.6817154662850192,True
0.8970343795542851,True
0.9238845699260049,True
0.7870362150145408,True
0.7006106408651628,True
0.6265406461625411,True
0.9506896465075946,True
0.7917393507039925,True
0.8128182766167963,True
0.7885949983692292,True
0.9078676640467556,True
0.8714425223851979,True
0.9034039198085938,True
0.8551580893890529,True
0.772446260336318,True
0.833212448493027,True
0.8415711138558691,True
0.8724491570173065,True
0.8496505050007694,True
0.8187626991672364,True
0.8812480332200242,True
0.8582171059993854,True
0.9179868301861609,True
0.6621630469900678,True
0.9268502567933081,True
0.854500433829678,True
0.8584062488786168,True
0.8918972982182721,True
0.7240565628945718,True
0.6999258727866062,True
0.690663175967615,True
0.8127238305492567,True
0.7456403323483015,True
0.8791004399413569,True
0.6823450063297558,True
0.8517654801074657,True
0.5483070045665678,True
0.8206777873663652,True
0.7251447667925063,True
0.7698717464919946,True
0.8703829836935044,True
0.8037933379936106,True
0.8609471040046739,True
